B00094,627.0,F081,Electronics
B00147,121.5,B0558,Collectibles
B00163,9760.0,B0083,Baby
B00451,752.0,B296,Electronics
B00485,592.0,D24,Clothing & Accessories
B00492,573.0,B336,Baby
B00814,2275.0,G082,Furniture
B01202,483.0,E797,Furniture
B01405,2624.0,I449,Electronics
B01427,352.0,C390,Books
B01633,784.0,F622,Electronics
B01739,697.5,E026,Beauty
B01968,2246.0,D034,Garden & Outdoors
B02163,5120.0,E19,Apps & Games
B02259,1216.0,D844,Garden & Outdoors
B02399,569.5,B049,Baby
B02520,23008.0,J397,Collectibles
B02719,1593.5,H791,Baby
B02752,220.5,F609,Clothing & Accessories
B03089,64.5,G512,Apps & Games
B03151,1056.0,F276,Apps & Games
B03372,505.5,B0021,Clothing & Accessories
B03457,4608.0,H509,Furniture
B03942,1788.5,C182,Beauty
B04139,1888.0,B0328,Baby
B04533,633.5,J07,Clothing & Accessories
B04560,2013.0,E036,Garden & Outdoors
B04719,402.5,H233,Garden & Outdoors
B0492,2842.5,J77,Garden & Outdoors
B05143,473.5,B0412,Apps & Games
B05182,1664.0,H920,Furniture
B05301,38134.0,E328,Furniture
B05565,3993.5,D224,Beauty
B06028,416.0,C287,Clothing & Accessories
B06226,358.5,D399,Apps & Games
B06345,64.5,C874,Books
B06388,896.0,B90,Clothing & Accessories
B06653,1322.5,B0412,Computers & Accessories
B06724,2563.0,B193,Electronics
B06856,6228.5,G825,Electronics
B07064,704.0,H791,Beauty
B07108,1248.0,H284,Baby
B07170,7008.0,J300,Clothing & Accessories
B07461,608.0,H121,Clothing & Accessories
B07787,4800.0,D720,Books
B08046,1152.0,J025,Beauty
B08302,3800.0,C036,Computers & Accessories
B08303,240.0,H881,Apps & Games
B08393,6364.5,C457,Clothing & Accessories
B08866,14479.5,C874,Garden & Outdoors
B08926,3836.5,B0484,Beauty
B08947,537.5,G098,Collectibles
B08981,672.0,B532,Electronics
B09500,3047.0,E998,Clothing & Accessories
B0965,1870.0,J86,Baby
B09729,18432.0,B119,Computers & Accessories
B0974,448.0,J917,Garden & Outdoors
B09942,1152.0,E467,Apps & Games
B10156,1320.5,B0485,Furniture
B10554,633.5,B006,Garden & Outdoors
B11003,10816.0,G367,Computers & Accessories
B11183,1607.0,H023,Electronics
B11487,784.0,G832,Books
B11505,15803.0,G878,Baby
B11809,393.5,H433,Books
B11838,2160.0,B961,Furniture
B12007,1333.0,C001,Clothing & Accessories
B1237,456.5,C874,Computers & Accessories
B12442,1593.5,G36,Apps & Games
B12641,1881.5,H030,Apps & Games
B12851,313.5,H722,Computers & Accessories
B13167,30027.5,D184,Beauty
B13190,1004.5,D055,Collectibles
B13539,1361.5,D32,Baby
B1362,377.5,B694,Books
B13817,1134.0,B736,Baby
B1407,518.0,B485,Computers & Accessories
B14730,320.0,F655,Beauty
B14732,304.0,J374,Books
B1503,1832.5,B003,Beauty
B15306,368.0,J557,Electronics
B15577,864.0,H495,Beauty
B15641,544.0,J670,Baby
B15664,10631.0,H551,Clothing & Accessories
B1570,13708.5,I765,Computers & Accessories
B15909,10053.0,H241,Computers & Accessories
B16152,313.5,C839,Books
B16264,4841.5,J086,Clothing & Accessories
B16593,169.5,E188,Computers & Accessories
B16766,1497.5,J57,Apps & Games
B17389,432.5,C874,Furniture
B17573,471.0,F609,Garden & Outdoors
B17782,1196.5,B144,Beauty
B18137,224.0,F628,Beauty
B18184,7648.0,F637,Beauty
B18190,464.0,H901,Beauty
B18327,384.0,C974,Collectibles
B18570,998.0,D373,Baby
B18756,1814.0,C874,Beauty
B18876,2208.0,J089,Computers & Accessories
B18944,29376.0,B845,Clothing & Accessories
B19127,230.0,H391,Collectibles
B19168,3168.0,F853,Collectibles
B19359,480.0,H738,Baby
B19371,592.5,C835,Beauty
B19720,7142.0,F036,Collectibles
B19777,2528.0,E702,Books
B1987,21293.0,C844,Books
B20082,547.0,H400,Clothing & Accessories
B20084,1768.0,I481,Books
B20178,928.0,B0326,Collectibles
B2020,691.0,F611,Apps & Games
B20616,1581.0,C751,Computers & Accessories
B20821,102.0,D911,Baby
B21152,972.5,E064,Collectibles
B21263,448.0,C106,Furniture
B21585,1152.5,E656,Beauty
B21765,3136.0,G379,Furniture
B22028,1408.0,C725,Garden & Outdoors
B22639,19168.0,B0004,Furniture
B22766,1239.0,B923,Furniture
B2301,7936.0,I817,Furniture
B23044,3648.0,F493,Books
B23329,1068.0,B24,Furniture
B23539,7065.5,J445,Computers & Accessories
B24011,1344.0,B225,Computers & Accessories
B24037,368.0,H738,Electronics
B24088,264.5,G948,Apps & Games
B24382,4380.5,H885,Clothing & Accessories
B24509,252.5,J833,Garden & Outdoors
B2453,1465.5,B431,Collectibles
B24536,866.5,C874,Apps & Games
B24963,858.0,E473,Computers & Accessories
B25337,617.5,B0264,Beauty
B25359,460.5,G034,Baby
